message_id,timestamp,sender_role,sender_name,target_role,target_department,priority,category,title,message,status,reply,reply_by,reply_timestamp,acknowledged
MSG-20260316233445494008,2026-03-16 23:34:45,admin,Hospital Admin,all,All Departments,high,shift,Shift Change Notice,Shift update notice: please review your latest assignment and acknowledge the change.,sent,,,,no
MSG-20260316233644887711,2026-03-16 23:36:44,admin,Hospital Admin,doctor,ER,high,shift,Shift Change Notice,Shift update notice: please review your latest assignment and acknowledge the change.,sent,,,,no
MSG-20260316233757600258,2026-03-16 23:37:57,admin,Hospital Admin,doctor,ER,high,emergency,doctor1,تغيير شيفت,sent,,,,no
MSG-20260317001456211025,2026-03-17 00:14:56,admin,Hospital Admin,all,All Departments,high,shift,Shift Change Notice,Shift update notice: please review your latest assignment and acknowledge the change.,sent,,,,no
MSG-20260317174314118936,2026-03-17 17:43:14,admin,Hospital Admin,all,All Departments,high,coverage,Doctor Coverage Request,Urgent coverage needed: an additional doctor is required to cover the current shift immediately.,sent,,,,no
