datetime,department,hybrid_pred
2026-05-05 22:00:00,ER,52.872342561187416
2026-05-05 23:00:00,ER,54.683316663219394
2026-05-06 00:00:00,ER,55.728130024096565
2026-05-06 01:00:00,ER,56.223674830041084
2026-05-06 02:00:00,ER,56.4577334052784
2026-05-06 03:00:00,ER,56.45621439304323
2026-05-06 04:00:00,ER,56.120820673482875
2026-05-06 05:00:00,ER,55.47877470769464
2026-05-06 06:00:00,ER,54.11649766367088
2026-05-06 07:00:00,ER,52.573924133370376
2026-05-06 08:00:00,ER,51.046131563342335
2026-05-06 09:00:00,ER,49.540106273586105
2026-05-06 10:00:00,ER,47.864058920348775
2026-05-06 11:00:00,ER,46.35838497111532
2026-05-06 12:00:00,ER,44.93001179035419
2026-05-06 13:00:00,ER,43.728007967657305
2026-05-06 14:00:00,ER,42.54736083986245
2026-05-06 15:00:00,ER,41.55413273391523
2026-05-06 16:00:00,ER,40.846126210475056
2026-05-06 17:00:00,ER,40.2393578416665
2026-05-06 18:00:00,ER,39.75513328060991
2026-05-06 19:00:00,ER,39.301970949602556
2026-05-06 20:00:00,ER,38.95234835886074
2026-05-06 21:00:00,ER,38.62357758750861
2026-05-06 22:00:00,ER,38.53835433096964
2026-05-06 23:00:00,ER,38.42592763331444
2026-05-07 00:00:00,ER,38.366793469885806
2026-05-07 01:00:00,ER,38.28195352110208
2026-05-07 02:00:00,ER,38.24774267990605
2026-05-07 03:00:00,ER,38.18476590760989
2026-05-07 04:00:00,ER,38.16929705380375
2026-05-07 05:00:00,ER,38.12211045934185
2026-05-07 06:00:00,ER,38.1197225827898
2026-05-07 07:00:00,ER,38.083173272489375
2026-05-07 08:00:00,ER,38.08931162526258
2026-05-07 09:00:00,ER,38.0595681165838
2026-05-07 10:00:00,ER,38.07109091462047
2026-05-07 11:00:00,ER,38.04555616105876
2026-05-07 12:00:00,ER,38.06032717449623
2026-05-07 13:00:00,ER,38.03730439810182
2026-05-07 14:00:00,ER,38.054009845807784
2026-05-07 15:00:00,ER,38.03245839656068
2026-05-07 16:00:00,ER,38.05024989046914
2026-05-07 17:00:00,ER,38.02957620086898
2026-05-07 18:00:00,ER,38.048029547249755
2026-05-07 19:00:00,ER,38.0278551987221
2026-05-07 20:00:00,ER,38.046694214098814
2026-05-07 21:00:00,ER,38.02680710887009
2026-05-07 22:00:00,ER,38.04586699892642
2026-05-07 23:00:00,ER,38.0261618507466
2026-05-08 00:00:00,ER,38.045354115111415
2026-05-08 01:00:00,ER,38.02576988821885
2026-05-08 02:00:00,ER,38.045057906403756
2026-05-08 03:00:00,ER,38.025539668552554
2026-05-08 04:00:00,ER,38.04487613891667
2026-05-08 05:00:00,ER,38.02540557895477
2026-05-08 06:00:00,ER,38.04477066567744
2026-05-08 07:00:00,ER,38.0253309983318
2026-05-08 08:00:00,ER,38.044714020865705
2026-05-08 09:00:00,ER,38.025282357347784
